Title,Authors,Publish Date,Summary,Category
"مصر: تصريحات تأييد ""المساكنة"" تشعل الجدل.. ومحام يطلب تعويضا 100 مليون جنيه بعد إيقافه",,09/08/2024,"دبي، الإمارات العربية المتحدة (CNN)-- تجدد الجدل في مصر مرة ثانية حول ""المساكنة""، بعد قرار نقابة المحامين بإيقاف محام عن ممارسة المهنة لحين التحقيق معه بشأن تصريحاته التليفزيونية لإعلانه تأييد المساكنة قبل الزواج، وأكدت النقابة أنها ستتصدى لأي أحد يسيء لها أمام المجتمع.
وفي الوقت نفسه، أعاد مركز الأزهر العالمي نشر فتوى تؤكد أن المساكنة ""زنا"" وحكمها من الكبائر واعتداء على كرامة المرأة.
ويرى مركز الأزهر العالمي للفتوى الإلكترونية، أن الدعوات إلى المساكنة تنكر للدين الإسلامي والفطرة وتزييف للحقائق، وتسمية للأشياء بغير مسمياتها، ودعوة صريحة إلى سلوكيات مشبوهة ومحرمة، وأضاف أن ""المساكنة إحدى صور الزنا التي حرمها الإسلام وكذلك سائر الأديان الإلهية والكتب السماوية، وأن أي علاقة خارج إطار الزواج محرمة على الرجل والمرأة"".
واتهم سامح، في تصريحات خاصة لـCNN بالعربية، نقابة المحامين بإصدار قرار إيقافه لإرضاء ""التيار التكفيري"" داخل النقابة، والذي سبق وأن أقام دعاوى قضائية ضد رموز هذا التيار، مضيفًا أنه لن يمثل لتحقيق النقابة بشأن تصريحاته.
وفي بيان رسمي، أكد نقيب المحامين، عبدالحليم علام، أن قرار إحالة المحامي هاني سامح للتحقيق جاء بناءً على التصريحات المتعلقة بـ""المساكنة""، ووصفها بأنها تصريحات ""غير مقبولة""، وتعبر عن نفسه ولا تمثل جموع المحامين، كما أن النقابة لن تسكت عمن يُسيء لها أمام المجتمع ويثير البلبلة.",business
ما حقيقة حرب طروادة؟ علماء آثار يبحثون عن الإجابة في تركيا,,09/09/2024,"يقود الأستاذ رستم أصلان، مدير الحفريات الأثرية في طروادة، فريقًا من العلماء وعمّال الحفر في أنقاض المدينة القديمة، في محاولة لكشف حقيقة ما حدث بالفعل وقت سقوط طروادة.
ويشرح كيف أن رأس سهم، عُثر عليه في ""طبقة الدمار"" لطروادة، يضيف المزيد من الأدلة إلى الأسطورة التي دوّنها هوميروس.
قد يهمّك أيضًا.. ""عاصمة الشاي"" في تركيا.. شاهد كيفية زراعة وقطف وإنتاج هذه الأوراق الخضراء اللذيذة",business
حموضة المعدة..كيف تعالج هذه الحالة بطرق منزلية ومن دون أدوية؟,,09/09/2024,"كيفية علاج حموضة المعدة بطرق منزلية ومن دون أدويةدبي، الإمارات العربية المتحدة (CNN)-- يحدث داء الارتداد المعدي المريئي عندما يتسرّب حمض المعدة وينتقل إلى المريء، وهو ما يُعرف أيضاً باسم ""الارتجاع"" أو ""الارتجاع الحمضي"".
ويعاني الجميع تقريبًا من حرقة المعدة بسبب الارتجاع الحمضي خلال فترة من حياتهم.
وثبت أن الإقلاع عن التدخين يؤدي إلى تحسين الأعراض بشكل ملحوظ لدى الأشخاص الذين يتناولون أدوية لعلاج مرض الارتجاع المعدي المريئي.
كذلك، تؤثر الكحول على المعدة، وتريح العضلات المحيطة بالمريء، مما يؤدي إلى ارتجاع حمض المعدة.
رفع السرير بشكل أعلىيمكن أن يساعد رفع رأس أو أعلى السرير بحوالي 20 سنتيمترا باستخدام قطعة من الخشب أو وسادة في التخفيف من أعراض الارتجاع في الليل.",business
كميات متزايدة من جسيمات البلاستيك الدقيقة في أنسجة الدماغ.. إليكم ما كشفته دراسة,,09/09/2024,"وجدت دراسة، قارنت بين عمليات تشريح الجثث تعود إلى عامي 2016 و2024، أن كميّة جسيمات البلاستيك الدقيقة في الدماغ زادت بمرور الوقت.
وتتواجد جسيمات البلاستيك الدقيقة في بعض الأطعمة والمشروبات التي نتناولها، ولذلك يمكن أن تنتقل إلى خلايا أجسامنا.
جاكلين هوارد، مراسلة الصحة لدى CNN، تشرح تفاصيل البحث الجديد.
قد يهمّك أيضًا.. ما هي الأطعمة التي تحتوي على كميات كبيرة من المواد البلاستيكية؟",business
أطول برج خشبي في العالم..ما المدينة التي ستحتضنه؟,,09/09/2024,"لماذا الخشب؟كما يتنافس على لقب أطول برج خشبي في العالم برج C6 في بيرث، غرب أستراليا.
وتحذر بعض الدراسات من أن زيادة الطلب على الأخشاب الضخمة قد تزيد من الضغوط على استخدام الأراضي.
في هذا الإطار علّق غرين أن شركة MGA تستخدم الخشب من الغابات المدارة بشكل مسؤول في أمريكا الشمالية.
وقامت مدونة البناء الدولية بتحديث سياستها بشأن الأخشاب الضخمة في عام 2021، ما يسمح ببناء المباني الخشبية الضخمة التي يزيد ارتفاعها عن ست طبقات.
ويأمل غرين أن يساعد برج ميلووكي على دفع الابتكار في الهندسة المعمارية الصديقة للمناخ، وفتح خيال الناس للبناء بالأخشاب.",business
من بينها هزّ الفنجان.. تعرّف إلى إتيكيت شرب القهوة العربية,,09/09/2024,"تُعدّ القهوة العربية محبوبة بين العديد من الأشخاص بسبب مذاقها الرائع ورائحتها الذكية.
ولكن، قد يجهل كثيرون طريقة شربها أو صبّها بشكل صحيح.
وقدمت إسراء شاهين، وهي خبيرة إتيكيت وبروتوكول، وصاحبة حساب ""israashaheenofficial"" عبر منصة ""إنستغرام""، في مقابلة مع موقع CNN بالعربية، 5 نصائح أساسية تتعلق في هذا الشأن.
وتشمل ما يلي:",business
مصور مصري يوثق الأجواء الحماسية لسباق الإبل في صحراء سيناء,,09/09/2024,"وتُشكِّل هذه الأجواء الحماسية جانبًا من سباق الزلقة للهجن الذي يأخذ مكانه سنويًا في صحراء سيناء بمصر.
Credit: Ahmed Zaher/Instagram: @zaher.stوأضاف زاهر أنه رغم أنّ السباق يستمر ليوم واحد فقط، إلا أنّ القبائل تتجمع في وادي الزلقة قبل أسبوع من الحدث تقريبًا.
وثق المصور معظم هذه المشاهد في عام 2021. Credit: Ahmed Zaher/Instagram: @zaher.stويكون السباق بين أحد أكبر قبيلتين في سيناء، أي المزينة، والترابين.
Credit: Ahmed Zaher/Instagram: @zaher.stولطالما سمع زاهر عن هذا الحدث، ودعاه الكثيرون من أصدقائه البدو للحضور.
Credit: Ahmed Zaher/Instagram: @zaher.stوما لفت انتباه المصور المصري في السباق هو روح المنافسة، والاحترام الشديد بين القبيلتين.",business
اكتشفه عالم آثار هاوٍ.. العثور على خاتم عمره ألف عام في أسكتلندا,,09/08/2024,"يذكرنا اكتشاف أثري في اسكتلندا بفيلم “سيد الخواتم” (The Lords of the Rings)، عقب العثور على خاتم بيكتي عمره 1000 سنة، بواسطة عالم آثار هاوٍ.
والخاتم على شكل طائرة ورقية يتوسّطه حجر من العقيق أو زجاج أحمر، اكتشفه متطوع في عملية حفر تشرف عليها جامعة أبردين.
قد يهمك أيضًا.. عمره 150 عامًا.. رحلة على متن أقدم ""قطار نوم"" في بريطانيا",business
"كأنّه ""فرن"".. ""وادي الموت"" في أمريكا يشهد أحر صيف على الإطلاق",,09/08/2024,"لأول مرة منذ 19 عامًا.. بحيرة ""وادي الموت"" الأكثر جفافًا في أمريكا تمتلئ بالمياهدبي، الإمارات العربية المتحدة (CNN)— أصبحت واحدة من أكثر الأماكن سخونة على وجه الأرض أكثر سخونة من قبل.
وشهد منتزه ""وادي الموت"" الوطني، الواقع في أمريكا، الصيف الأكثر سخونة على الإطلاق من الناحية الجوية (يونيو/حزيران – أغسطس/آب)، فبلغ متوسط ​​درجة الحرارة على مدار 24 ساعة 40.3 درجة مئوية، وفقًا لبيان صحفي صادر خدمة المتنزهات الوطنية.
وتجاوزت درجة الحرارة هذه الرقم القياسي القديم الذي بلغ 40.1 درجة مئوية، والذي تم قياسه في عام 2018.
وبلغت أعلى درجة حرارة هذا الصيف 54 درجة مئوية في 7 يوليو/تموز، ولكن لم تكن فترة النهار وحدها التي تمتعت بجوٍ حار.
وأفاد البيان أنّ درجة الحرارة انخفضت إلى أقل من 26.7 درجة مئوية خمس مرات فقط في الفترة من 1 يونيو/حزيران إلى 31 أغسطس/آب.",business
بعدما فقدت جزءا من ساقها بهجوم قرش.. سباحة تفوز بميداليتين في الألعاب البارالمبية بباريس,,09/09/2024,"فازت السباحة الأمريكية آلي ترويت بميداليتين فضيتين في دورة الألعاب البارالمبية بباريس، بعد 16 شهرًا فقط من فقدانها جزءًا من ساقها في هجوم قرش مروع.
وتحدثت ترويت خلال مقابلة مع مذيع شبكة CNN، دون ريدل، حول تعافيها من الهجوم وعن الجهد الذي بذلته في هذه الرياضة.",business
مشتبه به في إطلاق نار ما زال طليقًا وسط مطاردة ضخمة بولاية كنتاكي.. ومدارس تُعلق التعليم,,09/09/2024,"انتشرت العديد من وكالات إنفاذ القانون في مقاطعة لوريل، بولاية كنتاكي الأمريكية.
وذلك بعد يوم من قيام رجل بإطلاق النار على الطريق السريع بين الولايات، مما أدى إلى إصابة 5 أشخاص بجروح خطيرة.
كما ركزت سلطات إنفاذ القانون على منطقة محددة بالقرب من مكان وقوع إطلاق النار، ولكن هذه منطقة غابات وعرة للغاية.
وقالت الشرطة إن هناك الكثير من الأشجار، ومن الصعب التنقل حولها، مما يجعله من الصعب جدًا مواصلة البحث حتى الليل.
من جانبه، تواصل البيت الأبيض مع سلطات إنفاذ القانون في كنتاكي والتي استخدمت العديد من الموارد، بما في ذلك مروحية واحدة على الأقل، ووحدات K9، بالإضافة إلى طائرة مسيّرة من أجل البحث في المنطقة.",business
